"","cage_id","animal_id","day","ds"
"1","110","110-1","d1",7
"2","110","110-2","d1",3
"3","110","110-3","d1",-4
"4","110","110-4","d1",-5.5
"5","110","110-5","d1",-0.5
"6","110","110-1","d2",6
"7","110","110-2","d2",2
"8","110","110-3","d2",4
"9","110","110-4","d2",-4
"10","110","110-5","d2",-8
"11","110","110-1","d3",7
"12","110","110-2","d3",-3
"13","110","110-3","d3",4
"14","110","110-4","d3",-2
"15","110","110-5","d3",-6
"16","113","113-1","d1",-5
"17","113","113-2","d1",2
"18","113","113-3","d1",3
"19","113","113-4","d1",-3
"20","113","113-5","d1",3
"21","113","113-1","d2",-6
"22","113","113-2","d2",-4.44089209850063e-16
"23","113","113-3","d2",7
"24","113","113-4","d2",1
"25","113","113-5","d2",-2
"26","113","113-1","d3",-5
"27","113","113-2","d3",-1
"28","113","113-3","d3",6
"29","113","113-4","d3",1
"30","113","113-5","d3",-1
"31","119","119-1","d1",-6
"32","119","119-2","d1",5
"33","119","119-3","d1",-1
"34","119","119-4","d1",-1
"35","119","119-5","d1",3
"36","119","119-1","d2",-3
"37","119","119-2","d2",-5
"38","119","119-3","d2",4
"39","119","119-4","d2",4
"40","119","119-5","d2",-4.44089209850063e-16
"41","119","119-1","d3",-5
"42","119","119-2","d3",-6
"43","119","119-3","d3",8
"44","119","119-4","d3",4
"45","119","119-5","d3",-1
"46","122","122-1","d1",4
"47","122","122-2","d1",5
"48","122","122-3","d1",-4
"49","122","122-4","d1",-8
"50","122","122-5","d1",3
"51","122","122-1","d2",4
"52","122","122-2","d2",7
"53","122","122-3","d2",-5
"54","122","122-4","d2",-5
"55","122","122-5","d2",-1
"56","122","122-1","d3",8
"57","122","122-2","d3",3
"58","122","122-3","d3",-5
"59","122","122-4","d3",-7
"60","122","122-5","d3",1
"61","146","146-1","d1",-1
"62","146","146-2","d1",-6
"63","146","146-3","d1",5
"64","146","146-4","d1",4
"65","146","146-5","d1",-2
"66","146","146-1","d2",3
"67","146","146-2","d2",-3
"68","146","146-3","d2",7
"69","146","146-4","d2",4.44089209850063e-16
"70","146","146-5","d2",-7
"71","146","146-1","d3",1
"72","146","146-2","d3",-4
"73","146","146-3","d3",8
"74","146","146-4","d3",3
"75","146","146-5","d3",-8
"76","149","149-1","d1",-5
"77","149","149-2","d1",3
"78","149","149-3","d1",7
"79","149","149-4","d1",-3
"80","149","149-5","d1",-2
"81","149","149-1","d2",-1
"82","149","149-2","d2",4
"83","149","149-3","d2",8
"84","149","149-4","d2",-4
"85","149","149-5","d2",-7
"86","149","149-1","d3",-6
"87","149","149-2","d3",3
"88","149","149-3","d3",8
"89","149","149-4","d3",-3
"90","149","149-5","d3",-2
"91","155","155-1","d1",-4
"92","155","155-2","d1",5
"93","155","155-3","d1",7
"94","155","155-4","d1",-7
"95","155","155-5","d1",-1
"96","155","155-1","d2",-5
"97","155","155-2","d2",2
"98","155","155-3","d2",8
"99","155","155-4","d2",-2
"100","155","155-5","d2",-3
"101","155","155-1","d3",0
"102","155","155-2","d3",-5
"103","155","155-3","d3",8
"104","155","155-4","d3",-6
"105","155","155-5","d3",3
"106","158","158-1","d1",1
"107","158","158-2","d1",6
"108","158","158-3","d1",-3.5
"109","158","158-4","d1",-7.5
"110","158","158-5","d1",4
"111","158","158-1","d2",3
"112","158","158-2","d2",8
"113","158","158-3","d2",-4
"114","158","158-4","d2",-4
"115","158","158-5","d2",-3
"116","158","158-1","d3",4
"117","158","158-2","d3",8
"118","158","158-3","d3",-4
"119","158","158-4","d3",-3
"120","158","158-5","d3",-5
"121","173","173-1","d1",-6
"122","173","173-2","d1",-1
"123","173","173-3","d1",-2
"124","173","173-4","d1",1
"125","173","173-5","d1",8
"126","173","173-1","d2",-6
"127","173","173-2","d2",-3
"128","173","173-3","d2",-2
"129","173","173-4","d2",3
"130","173","173-5","d2",8
"131","173","173-1","d3",8.88178419700125e-16
"132","173","173-2","d3",-4
"133","173","173-3","d3",-6
"134","173","173-4","d3",6
"135","173","173-5","d3",4
"136","176","176-1","d1",0
"137","176","176-2","d1",4
"138","176","176-3","d1",3
"139","176","176-4","d1",-7
"140","176","176-5","d1",4.44089209850063e-16
"141","176","176-1","d2",-1
"142","176","176-2","d2",8
"143","176","176-3","d2",4
"144","176","176-4","d2",-6
"145","176","176-5","d2",-5
"146","176","176-1","d3",0
"147","176","176-2","d3",7
"148","176","176-3","d3",2
"149","176","176-4","d3",-4
"150","176","176-5","d3",-5
"151","182","182-1","d1",-2
"152","182","182-2","d1",8
"153","182","182-3","d1",-6
"154","182","182-4","d1",4
"155","182","182-5","d1",-4
"156","182","182-1","d2",-5.5
"157","182","182-2","d2",8
"158","182","182-3","d2",-4
"159","182","182-4","d2",3
"160","182","182-5","d2",-1.5
"161","182","182-1","d3",-5
"162","182","182-2","d3",8
"163","182","182-3","d3",-1
"164","182","182-4","d3",4
"165","182","182-5","d3",-6
"166","185","185-1","d1",-7
"167","185","185-2","d1",8
"168","185","185-3","d1",-4.44089209850063e-16
"169","185","185-4","d1",-1
"170","185","185-5","d1",-4.44089209850063e-16
"171","185","185-1","d2",-8
"172","185","185-2","d2",8
"173","185","185-3","d2",-4
"174","185","185-4","d2",2
"175","185","185-5","d2",2
"176","185","185-1","d3",-8
"177","185","185-2","d3",8
"178","185","185-3","d3",-2
"179","185","185-4","d3",2
"180","185","185-5","d3",4.44089209850063e-16
"181","38","38-2","d1",-3.6
"182","38","38-3","d1",1.6
"183","38","38-4","d1",2.4
"184","38","38-5","d1",-0.4
"185","38","38-2","d2",-1.6
"186","38","38-3","d2",0.8
"187","38","38-4","d2",-3.2
"188","38","38-5","d2",4
"189","38","38-2","d3",-0.8
"190","38","38-3","d3",0.8
"191","38","38-4","d3",-4
"192","38","38-5","d3",4
"193","41","41-1","d1",-2
"194","41","41-2","d1",-3
"195","41","41-3","d1",-3
"196","41","41-4","d1",7
"197","41","41-5","d1",1
"198","41","41-1","d2",2
"199","41","41-2","d2",-3
"200","41","41-3","d2",-8
"201","41","41-4","d2",6
"202","41","41-5","d2",3
"203","41","41-1","d3",6
"204","41","41-2","d3",-4
"205","41","41-3","d3",-8
"206","41","41-4","d3",5
"207","41","41-5","d3",1
"208","47","47-1","d1",4.44089209850063e-16
"209","47","47-2","d1",2
"210","47","47-3","d1",-6
"211","47","47-4","d1",7
"212","47","47-5","d1",-3
"213","47","47-1","d2",-4
"214","47","47-2","d2",3
"215","47","47-3","d2",-1
"216","47","47-4","d2",3
"217","47","47-5","d2",-1
"218","47","47-1","d3",-4
"219","47","47-2","d3",4
"220","47","47-3","d3",-6
"221","47","47-4","d3",6
"222","47","47-5","d3",-4.44089209850063e-16
"223","50","50-1","d1",8
"224","50","50-2","d1",-4
"225","50","50-3","d1",-3
"226","50","50-4","d1",2
"227","50","50-5","d1",-3
"228","50","50-1","d2",8
"229","50","50-2","d2",-1
"230","50","50-3","d2",-5
"231","50","50-4","d2",-3
"232","50","50-5","d2",1
"233","50","50-1","d3",7
"234","50","50-2","d3",0.999999999999999
"235","50","50-3","d3",-3
"236","50","50-4","d3",-2
"237","50","50-5","d3",-3
"238","74","74-1","d1",3.5
"239","74","74-2","d1",-5.5
"240","74","74-3","d1",3
"241","74","74-4","d1",-5
"242","74","74-5","d1",4
"243","74","74-1","d2",7
"244","74","74-2","d2",-6
"245","74","74-3","d2",1
"246","74","74-4","d2",-3
"247","74","74-5","d2",1
"248","74","74-1","d3",8
"249","74","74-2","d3",-4
"250","74","74-3","d3",1
"251","74","74-4","d3",-3
"252","74","74-5","d3",-2
"253","77","77-1","d1",-2.4
"254","77","77-2","d1",3.2
"255","77","77-3","d1",1.6
"256","77","77-4","d1",-2.4
"257","77","77-1","d2",-2.4
"258","77","77-2","d2",4.8
"259","77","77-3","d2",0
"260","77","77-4","d2",-2.4
"261","77","77-1","d3",-1.2
"262","77","77-2","d3",4.8
"263","77","77-3","d3",2.22044604925031e-16
"264","77","77-4","d3",-3.6
"265","86","86-1","d1",-3
"266","86","86-2","d1",-2
"267","86","86-3","d1",-6
"268","86","86-4","d1",3
"269","86","86-5","d1",8
"270","86","86-1","d2",4
"271","86","86-2","d2",-4
"272","86","86-3","d2",-3
"273","86","86-4","d2",-3
"274","86","86-5","d2",6
"275","86","86-1","d3",0.999999999999999
"276","86","86-2","d3",-6
"277","86","86-3","d3",-3
"278","86","86-4","d3",0
"279","86","86-5","d3",8
