"","h-modified","p-value","cage_id","day"
"1",0.75,0.234,"110","d1"
"2",0.85,0.1172,"110","d2"
"3",0.85,0.114,"110","d3"
"4",0.8,0.2316,"113","d1"
"5",0.85,0.1182,"113","d2"
"6",1,0.1173,"113","d3"
"7",0.75,0.2336,"119","d1"
"8",0.8,0.232,"119","d2"
"9",1,0.1161,"119","d3"
"10",0.8,0.2332,"122","d1"
"11",0.85,0.1181,"122","d2"
"12",1,0.1156,"122","d3"
"13",0.75,0.2329,"146","d1"
"14",1,0.1152,"146","d2"
"15",1,0.1163,"146","d3"
"16",0.95,0.119,"149","d1"
"17",1,0.1197,"149","d2"
"18",0.85,0.1168,"149","d3"
"19",1,0.1187,"155","d1"
"20",1,0.1187,"155","d2"
"21",0.95,0.1197,"155","d3"
"22",1,0.1161,"158","d1"
"23",0.8,0.2357,"158","d2"
"24",0.85,0.1127,"158","d3"
"25",0.85,0.1126,"173","d1"
"26",0.95,0.1164,"173","d2"
"27",1,0.1205,"173","d3"
"28",0.75,0.2369,"176","d1"
"29",1,0.1208,"176","d2"
"30",0.95,0.1128,"176","d3"
"31",0.85,0.1189,"182","d1"
"32",1,0.1184,"182","d2"
"33",1,0.1184,"182","d3"
"34",0.8,0.2385,"185","d1"
"35",0.95,0.1158,"185","d2"
"36",1,0.1191,"185","d3"
"37",1,0.3774,"38","d1"
"38",0.7,0.3778,"38","d2"
"39",0.9,0.3797,"38","d3"
"40",0.65,0.2408,"41","d1"
"41",0.95,0.1189,"41","d2"
"42",0.95,0.1178,"41","d3"
"43",0.75,0.2363,"47","d1"
"44",0.8,0.2363,"47","d2"
"45",0.85,0.1174,"47","d3"
"46",0.8,0.2323,"50","d1"
"47",0.75,0.235,"50","d2"
"48",0.65,0.2296,"50","d3"
"49",0.8,0.234,"74","d1"
"50",0.95,0.1164,"74","d2"
"51",0.85,0.1163,"74","d3"
"52",0.5,0.6273,"77","d1"
"53",0.7,0.3787,"77","d2"
"54",1,0.3699,"77","d3"
"55",0.95,0.1226,"86","d1"
"56",0.75,0.23,"86","d2"
"57",0.75,0.2323,"86","d3"
