"","cage_id","animal_id","sex","cage_rank","d1","d2","d3","stability"
"1","110","110-1","Male",1,1,1,1,"stable"
"2","113","113-1","Male",5,5,5,5,"stable"
"3","113","113-2","Male",2,3,3,3,"stable"
"4","113","113-3","Male",1,1,1,1,"stable"
"5","122","122-3","Female",4,4,4,4,"stable"
"6","122","122-5","Female",3,3,3,3,"stable"
"7","146","146-3","Male",1,1,1,1,"stable"
"8","149","149-2","Male",2,2,2,2,"stable"
"9","149","149-3","Male",1,1,1,1,"stable"
"10","149","149-4","Male",3,4,4,4,"stable"
"11","155","155-3","Female",1,1,1,1,"stable"
"12","158","158-2","Female",1,1,1,1,"stable"
"13","158","158-3","Female",4,4,4,4,"stable"
"14","176","176-1","Male",3,3,3,3,"stable"
"15","176","176-2","Male",1,1,1,1,"stable"
"16","176","176-3","Male",2,2,2,2,"stable"
"17","182","182-2","Female",1,1,1,1,"stable"
"18","182","182-4","Female",2,2,2,2,"stable"
"19","185","185-1","Female",5,5,5,5,"stable"
"20","185","185-2","Female",1,1,1,1,"stable"
"21","38","38-3","Male",2,2,2,2,"stable"
"22","41","41-2","Male",4,4,4,4,"stable"
"23","47","47-4","Female",1,1,1,1,"stable"
"24","50","50-1","Female",1,1,1,1,"stable"
"25","74","74-2","Male",5,5,5,5,"stable"
"26","74","74-4","Male",4,4,4,4,"stable"
"27","77","77-1","Male",3,3,3,3,"stable"
"28","77","77-2","Male",1,1,1,1,"stable"
"29","77","77-3","Male",2,2,2,2,"stable"
"30","86","86-5","Female",1,1,1,1,"stable"
